NOM_TURNO,COLONIA,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION_INTRACURRICULAR,REPROBACION,REPROBACION_CON_REGULARIZADOS,EFICIENCIA_TERMINAL
MATUTINO,9395,ESTATAL,SECUNDARIA,GENERAL,0.0254,0.1927,0.0938,0.8661
VESPERTINO,9395,ESTATAL,SECUNDARIA,GENERAL,0.053,0.1608,0.0839,0.7949
VESPERTINO,9391,ESTATAL,SECUNDARIA,GENERAL,0.0,0.1854,0.1854,0.6667
MATUTINO,9391,ESTATAL,SECUNDARIA,GENERAL,0.0299,0.0525,0.0401,0.9259
MATUTINO,9394,ESTATAL,SECUNDARIA,GENERAL,0.0136,0.1164,0.0217,0.877
VESPERTINO,9394,ESTATAL,SECUNDARIA,GENERAL,0.0577,0.1066,0.0159,0.6509999999999999
MATUTINO,9059,ESTATAL,SECUNDARIA,GENERAL,0.0627,0.0827,0.0197,0.9909
VESPERTINO,9059,ESTATAL,SECUNDARIA,GENERAL,0.0,0.2656,0.2031,0.7647
VESPERTINO,9040,ESTATAL,SECUNDARIA,GENERAL,0.0343,0.0656,0.0273,0.8692
MATUTINO,9040,ESTATAL,SECUNDARIA,GENERAL,0.0531,0.1341,0.0415,0.9306
VESPERTINO,9352,ESTATAL,SECUNDARIA,GENERAL,0.0466,0.2801,0.1922,0.8947
MATUTINO,9352,ESTATAL,SECUNDARIA,GENERAL,0.0045,0.0202,0.0067,0.9797
MATUTINO,9340,ESTATAL,SECUNDARIA,GENERAL,0.0345,0.217,0.1621,0.7519
VESPERTINO,9340,ESTATAL,SECUNDARIA,GENERAL,0.0531,0.109,0.0717,0.7521
MATUTINO,9359,ESTATAL,SECUNDARIA,GENERAL,0.0155,0.0,0.0,0.8987
VESPERTINO,9359,ESTATAL,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.9840000000000001
VESPERTINO,9010,ESTATAL,SECUNDARIA,GENERAL,0.0159,0.0,0.0,0.768
MATUTINO,9010,ESTATAL,SECUNDARIA,GENERAL,0.0039,0.0,0.0,1.0
MATUTINO,9116,ESTATAL,SECUNDARIA,GENERAL,0.0264,0.0136,0.0,1.0
VESPERTINO,9116,ESTATAL,SECUNDARIA,GENERAL,0.0793,0.0,0.0,0.7345
VESPERTINO,9176,ESTATAL,SECUNDARIA,GENERAL,0.0,0.1601,0.1182,0.8562
MATUTINO,9176,ESTATAL,SECUNDARIA,GENERAL,0.0263,0.0713,0.0467,0.8993
MATUTINO,9000,ESTATAL,SECUNDARIA,GENERAL,0.0235,0.0594,0.0193,0.9498
VESPERTINO,9000,ESTATAL,SECUNDARIA,GENERAL,0.0749,0.0175,0.0,0.7471
VESPERTINO,9059,ESTATAL,SECUNDARIA,GENERAL,0.0475,0.0033,0.0,0.7964
MATUTINO,9059,ESTATAL,SECUNDARIA,GENERAL,0.0051,0.0,0.0,1.0
VESPERTINO,9323,ESTATAL,SECUNDARIA,GENERAL,0.0632,0.2699,0.1739,0.6531
MATUTINO,9323,ESTATAL,SECUNDARIA,GENERAL,0.0468,0.1288,0.0531,0.8089
MATUTINO,9454,ESTATAL,SECUNDARIA,GENERAL,0.0216,0.1106,0.0047,1.0
VESPERTINO,9454,ESTATAL,SECUNDARIA,GENERAL,0.1231,0.1934,0.057,0.8278
MATUTINO,9339,ESTATAL,SECUNDARIA,GENERAL,0.0175,0.0775,0.0147,0.9381
VESPERTINO,9339,ESTATAL,SECUNDARIA,GENERAL,0.0117,0.0642,0.0183,0.9452
MATUTINO,9366,ESTATAL,SECUNDARIA,GENERAL,0.0214,0.2186,0.138,0.8939
VESPERTINO,9366,ESTATAL,SECUNDARIA,GENERAL,0.0596,0.2276,0.1045,0.7477
MATUTINO,9067,ESTATAL,SECUNDARIA,GENERAL,0.0108,0.0088,0.0088,0.7981
VESPERTINO,9067,ESTATAL,SECUNDARIA,GENERAL,0.0421,0.033,0.0165,0.977
MATUTINO,9019,ESTATAL,SECUNDARIA,GENERAL,0.0289,0.0231,0.0066,0.8663
VESPERTINO,9019,ESTATAL,SECUNDARIA,GENERAL,0.0214,0.0198,0.0099,0.9
MATUTINO,9352,ESTATAL,SECUNDARIA,GENERAL,0.0205,0.0983,0.0879,0.7622
VESPERTINO,9352,ESTATAL,SECUNDARIA,GENERAL,0.0968,0.0929,0.0571,0.6903
